route_id,route,, distance_km , daily_km 
430,Mathugama,Pettah, 67 ," 57,852 "
155,Soyzapura,Mattakkuliya, 23 ," 54,264 "
100,Panadura,Colombo, 30 ," 50,527 "
176,Karagampitiya,Hettiyawattha, 36 ," 42,206 "
120,Horana,Pettah, 41 ," 38,329 "
103,Narahenpita,Fort, 7 ," 27,540 "
122,Avissawella,Pettah, 57 ," 24,096 "
400,Aluthgama,Pettah, 61 ," 23,347 "
240,Negombo,Pettah, 39 ," 19,970 "
178,Narahenpita,Mattakkuliya, 11 ," 18,590 "
400/1,Kaluthara,Pettah, 43 ," 17,208 "
101,Moratuwa,Pettah, 23 ," 16,054 "
138,Homagama,Pettah, 25 ," 13,700 "
145,Mattakkuliya,Seemamalakaya, 9 ," 13,464 "
176,Nugegoda,Hettiyawattha, 13 ," 12,410 "
120,Kesbewa,Pettah, 26 ," 12,054 "
177,Kaduwela,Kollupitiya, 19 ," 11,381 "
154,Kiribathgoda,Angulana, 26 ," 10,799 "
187,Airport,Fort, 34 ," 10,445 "
255,Kottawa,Mt.Lavinia, 26 ," 8,864 "
100,Moratuwa,Pettah, 22 ," 8,712 "
138,Kottawa,Pettah, 20 ," 8,560 "
190,Meegoda,Pettah, 29 ," 8,006 "
170,Authurugiriya,Pettah, 21 ," 7,663 "
265,Minuwangoda,Pettah, 33 ," 7,019 "
138,Maharagama,Pettah, 16 ," 6,720 "
125,Padukka,Pettah, 35 ," 6,090 "
44986,Avissawella,Pettah, 42 ," 6,041 "
285,Mathugama,Horana, 42 ," 5,330 "
200,Gampaha,Pettah, 32 ," 5,316 "
180,Nittambuwa,Pettah, 43 ," 5,294 "
143,Hanwella,Pettah, 28 ," 5,040 "
163,Wideshasewa,Dehiwala, 12 ," 5,034 "
192,Moratuwa,Maharagama, 18 ," 4,840 "
124,Ihalabope,Maharagama, 28 ," 4,704 "
174,Kottawa,Borella, 15 ," 3,886 "
138/2,Matthegoda,Pettah, 25 ," 3,750 "
139,Kahathuduwa,Kalubowila, 16 ," 3,680 "
141,Wellawattha,Narahenpita, 5 ," 3,524 "
162,Bandaragama,Pettah, 36 ," 3,375 "
128,Kottawa,Thalagala, 15 ," 3,240 "
430/1,Kaluthara,Mathugama, 23 ," 3,220 "
127,Moragahahena,Piliyandala, 19 ," 3,211 "
341,Maharagama,Piliyandala, 8 ," 3,154 "
119,Dehiwala,Maharagama, 8 ," 3,032 "
240,Negombo,Colombo, 41 ," 2,945 "
143,Kaduwela,Pettah, 13 ," 2,886 "
697,Homagama,Kaduwela, 18 ," 2,880 "
242,Negombo,Diwulapitiya, 21 ," 2,758 "
138/4,Authurugiriya,Pettah, 30 ," 2,742 "
119,Nugegoda,Maharagama, 6 ," 2,736 "
183,Panadura,Nugegoda, 23 ," 2,674 "
125/1,Maharagama,Ingiriya, 45 ," 2,593 "
470,Avissawella,Hanwella, 18 ," 2,592 "
162/1,Bandaragama,Piliyandala, 15 ," 2,556 "
458,Horana,Mathugama, 35 ," 2,542 "
262,Ragama,Pettah, 15 ," 2,520 "
188,Raddoluwa,Colombo, 26 ," 2,496 "
171,Pelawattha,Fort, 12 ," 2,420 "
420,Kaluthara,Horana, 22 ," 2,376 "
342,Piliyandala,Kottawa, 18 ," 2,288 "
293,Homagama,Hanwella, 17 ," 2,258 "
125,Ingiriya,Pettah, 51 ," 2,244 "
138/3,Rukmalgama,Pettah, 28 ," 2,184 "
451,Panadura,Newdawa, 7 ," 2,112 "
245/1,Weyangoda,Air Port, 22 ," 2,112 "
244,Gamapaha,Negombo, 28 ," 2,070 "
107,Elakanda,Fort, 14 ," 2,052 "
103,Borella,Fort, 5 ," 2,040 "
270,Gampaha,Airport, 22 ," 2,020 "
450/7,Horana,Ingiriya, 18 ," 2,016 "
689,Nugegoda,Kudadeniya, 17 ," 1,904 "
400/4,Kaluthara V,Aluthgama, 18 ," 1,872 "
187,Ja,Ela, 18 ," 1,872 "
698,Homagama,Kaduwela, 19 ," 1,843 "
441,Aluthgama,Mathugama, 23 ," 1,840 "
428,Walallawita,Pettah, 90 ," 1,804 "
273,Negombo,Ja, 25 ," 1,764 "
139/1,Piliyandala,Kalubowila, 9 ," 1,710 "
245,Minuwangoda,Negombo, 19 ," 1,698 "
221,Nittambuwa,Giriulla, 27 ," 1,662 "
315,Meepe,Horana, 19 ," 1,650 "
138,Kadawatha,Fort, 17 ," 1,646 "
224,Pugoda,Pettah, 39 ," 1,621 "
135,Kelaniya,Kohuwala, 18 ," 1,601 "
425,Kaluthara,Bandaragama, 18 ," 1,546 "
